id,name,image,description,location,drops
17f6a3ceea8l0i6yrr9i9li6sityc,Arcane Sphere Of Faces,https://eldenring.fanapis.com/images/creatures/17f6a3ceea8l0i6yrr9i9li6sityc.png,Safeguard of the Witchbane Ruins' basement cellar. Mysteriously rare and highly unconventional.,Witchbane Ruins,['None']
17f6a0bda2cl0i6yrtkvf0vjp9puf,Giant Bat,https://eldenring.fanapis.com/images/creatures/17f6a0bda2cl0i6yrtkvf0vjp9puf.png,"The Giant Bats of Limgrave are nocturnal creatures and often rest during the day, unless they are disturbed.",Near the cliffs on Western Limgrave.,['Gold Firefly']
17f6a4a6036l0i6yrvd9spb0xhw8tg,Lesser Runebear,https://eldenring.fanapis.com/images/creatures/17f6a4a6036l0i6yrvd9spb0xhw8tg.png,"Feral, often massive bears with runic patterns on their chest. Most commonly found scavenging the realms of The Lands Between or fighting other wild creatures.","Eastern Limgrave, Weeping Peninsula","['Hefty Beast Bone', '16 Runes']"
17f6a47bf80l0i6ys0d6zu6xbqlwu2,Abnormal Stone Cluster,https://eldenring.fanapis.com/images/creatures/17f6a47bf80l0i6ys0d6zu6xbqlwu2.png,Bizarre catterpillar-shaped beings formed of moss-covered spherical stones and a disturbing eye that looks like that of a human being. They are commonly found as dull groups of seemingly lifeless rocks.,Evergaol Structures,"['Ruin Fragments', '', '39 Runes']"
17f6a58d8d2l0i6ys2scc9vx91u6pp,Basilisk,https://eldenring.fanapis.com/images/creatures/17f6a58d8d2l0i6ys2scc9vx91u6pp.png,???,"Ainsel River, Lake of Rot",['611 Runes']
17f6a170239l0i6ysg3xam4t0zopmn,Bladed Talon Eagle,https://eldenring.fanapis.com/images/creatures/17f6a170239l0i6ysg3xam4t0zopmn.png,"The servants of Stormveil come in many shapes, including Eagles that have been enslaved and fitted with blades. Driving them to attack those who approach",Stormveil Castle,"['98 Runes', ""Warhawk's Talon"", 'Flight Pinion']"
17f69f92eebl0i6yshu9cbf402o9dp,Boar,https://eldenring.fanapis.com/images/creatures/17f69f92eebl0i6yshu9cbf402o9dp.png,"The Boars of Limgrave are less aggressive than normal, but should not be assumed to be passive",in Forests of Limgrave and Stormhill,"['Thin Animal Bones', 'Lump of Flesh']"
17f69f7b6e7l0i6ysj8mlloa8u65n9,Burning Slug,https://eldenring.fanapis.com/images/creatures/17f69f7b6e7l0i6ysj8mlloa8u65n9.png,Burning Slugs move slowly and are located in the open field.,Liurnia of The Lakes,['Smoldering Butterfly']
17f69ee8f6el0i6ysmpe59c9uqwri4,Crab,https://eldenring.fanapis.com/images/creatures/17f69ee8f6el0i6ysmpe59c9uqwri4.png,Crabs thrive in the shallow ponds of Agheel Lake and the shores of Limgrave,Roaming the beaches of Western Limgrave.,"['Crab Eggs', 'Strip of White Flesh']"
17f69f11a62l0i6yswxrtoktawxqv,Construct,https://eldenring.fanapis.com/images/creatures/17f69f11a62l0i6yswxrtoktawxqv.png,An Enemy made by Enemies,Sealed Tunnel,['-']
17f69edd929l0i6yt0z56hlzhtjwzu,Deer,https://eldenring.fanapis.com/images/creatures/17f69edd929l0i6yt0z56hlzhtjwzu.png,"Deer roam freely in the plains on Limgrave, now that hunters have all but disappeared","West Limgrave, South West Liurnia of The Lakes","['Thin Animal Bones', 'Sliver of Meat', 'Beast Liver', '6 Runes']"
17f69dccb97l0i6yt6w0ys92ic7km6p,Dog,https://eldenring.fanapis.com/images/creatures/17f69dccb97l0i6yt6w0ys92ic7km6p.png,"Roaming through the fields of Limgrave, wild Dogs should not be assumed to be docile nor dull.",in Dragon-Burnt Ruins,"['Thin Animal Bones', 'Lump of Flesh', '52 Runes']"
17f69eb0a50l0i6yt8vwaeqz4djpgo,Giant Dragonfly,https://eldenring.fanapis.com/images/creatures/17f69eb0a50l0i6yt8vwaeqz4djpgo.png,The Great Dragonflies of Limgrave buzz and harass all creatures in their vicinity,"Agheel Lake, Limgrave","['Great Dragonfly Head', '5 Runes']"
17f69d1f23cl0i6ytdsizgpbatwgb,Direwolf,https://eldenring.fanapis.com/images/creatures/17f69d1f23cl0i6ytdsizgpbatwgb.png,"Found alone or in small packs, these bloodthirsty beasts stalk the Lands Between with predatory fervor.","Caria Manor, Liurnia of the Lakes",['371 Runes']
17f69df2d3cl0i6ytiz05kga4oygzh,Eagle,https://eldenring.fanapis.com/images/creatures/17f69df2d3cl0i6ytiz05kga4oygzh.png,"Majestic Eagles can be spotted among the cliffs, even during these times.",Limgrave / Stormhill,"['Flight Pinion', 'Slumbering Egg']"
17f69d72c7bl0i6ytp7vgblxte06s,Giant Crab,https://eldenring.fanapis.com/images/creatures/17f69d72c7bl0i6ytp7vgblxte06s.png,"Giant Crabs crowd the shores and shallows, attacking any who approach by swinging their powerful claws and spewing forth high-pressure water.",in the watery areas of Agheel Lake and the beaches of Western Limgrave,"['318 Runes', 'Crab Eggs', 'Strip of White Flesh']"
17f6a2f96a7l0i6ytu14rxjb7bw7x9,Giant Land Octopus,https://eldenring.fanapis.com/images/creatures/17f6a2f96a7l0i6ytu14rxjb7bw7x9.png,Giant Land Octopuses are a dangerous foe for any daring to visit the beaches of Limgrave.,Commonly found in watery areas,"['Land Octopus Ovary', 'Strip of White Flesh', '187~336 Runes']"
17f69d7f00al0i6ytxittgv1hoa7vg,Giant Lobster,https://eldenring.fanapis.com/images/creatures/17f69d7f00al0i6ytxittgv1hoa7vg.png,"The Lands Between are rife with all manner of life forms, naturally evolving over long periods and adapting to the environment. One such creature is the Giant Lobster — a creature that evolved to grow to such enormous sizes in order to better defend itself against much deadlier threats.",Liurnia of the Lakes,"['Strip of White Flesh', '', 'Crab Eggs']"
17f6a0191adl0i6yu0apvoxijwr9gh,Giant Poison Flower,https://eldenring.fanapis.com/images/creatures/17f6a0191adl0i6yu0apvoxijwr9gh.png,"Giant Poison Flowers sprout in unlikely places, and summon down the elements on those who approach them",within Post Town Remains in Limgrave.,['256 Runes']
