id,name,image,description,type,effect,obtainedFrom
17f69e47912l0i1z0lip3kamll88h,Blue Cipher Ring,https://eldenring.fanapis.com/images/items/17f69e47912l0i1z0lip3kamll88h.png,"Item for online play. Puts the wearer in ready state to answer should someone in another world call for rescue. You will be summoned to their world as a hunter. When summoned to rescue another player, your objective will be to defeat the invader.",Reusable,Enables the wearer to answer calls for rescue,
17f69cb5ad0l0i1z0lpxlgghg1a5nd,White Cipher Ring,https://eldenring.fanapis.com/images/items/17f69cb5ad0l0i1z0lpxlgghg1a5nd.png,"Item for online play. Allows you to automatically request for a hunter from another world to come to your rescue when your world is invaded. (You may be unable to summon rescuers under certain circumstances). A lost mystic code, enchanted to take the form of a ring. One of the fetishes said to have been bestowed by the Two Fingers.",Reusable,"When invaded, request the aid of a hunter.",
17f69bc7c03l0i1z0m2oonn1paf7l9,Furlcalling Finger Remedy,https://eldenring.fanapis.com/images/items/17f69bc7c03l0i1z0m2oonn1paf7l9.png,"Item for online play. Craftable item. Reveals cooperative and competitive multiplayer signs. Co-op summoning signs will be shown in gold, while hostile summoning signs will be shown in red. Multiplayer begins when you summon a player from another world through their sign.",Consumable,Reveals co-op and hostile summoning signs,
17f69d424cel0i1z0mj267csnydppy,Tarnished's Furled Finger,https://eldenring.fanapis.com/images/items/17f69d424cel0i1z0mj267csnydppy.png,"Item for online play. Creates a summon sign for cooperative multiplayer. Your objective will be to defeat the area boss of the world to which you were summoned. A finger of corpse wax, furled like a hook. It is a relic of those who came before, left to help those who would come after.",Reusable,Creates cooperative multiplayer summon sign.,
17f698fa494l0i1z0mm3upwg29zx1p,Finger Severer,https://eldenring.fanapis.com/images/items/17f698fa494l0i1z0mm3upwg29zx1p.png,Item for online play.,Consumable,"Sends another, or oneself, home.",
17f696e0825l0i1z1b0yp9snq79rx9,Duelist's Furled Finger,https://eldenring.fanapis.com/images/items/17f696e0825l0i1z1b0yp9snq79rx9.png,"Item for online play. Creates a summon sign for competitive multiplayer. Your objective will be to defeat the Host of Fingers of the world to which you were summoned. A finger of corpse wax, furled like a hook. The bronze adornments are the mark of a duelist.",Reusable,Creates competitive multiplayer summon sign.,
17f69cd0b30l0i1z1b1wxix8w3nd5m,Memory Of Grace,https://eldenring.fanapis.com/images/items/17f69cd0b30l0i1z1b1wxix8w3nd5m.png,"A phantom vision of the first grace, which once guided the Tarnished to the Lands Between. Lose all runes and return to last site of grace at which you rested. It all repeats. Be seen by the Elden Ring. Become the Elden Lord.",Reusable,"Lose all runes, return to last site of lost grace.",
17f698b2c80l0i1z1bptckziolc5y7,Tarnished's Wizened Finger,https://eldenring.fanapis.com/images/items/17f698b2c80l0i1z1bptckziolc5y7.png,"Item for online play. (Can also be used from the Messages menu.) Use to write messages. Your messages will be conveyed to other worlds, allowing other players to read them. A finger of corpse wax, so emaciated the bone is visible. It is a relic of those who came before, left to help those who would come after.",Reusable,Used to write messages.,
17f69a78385l0i1z1czzifpit6ox3p,Taunter's Tongue,https://eldenring.fanapis.com/images/items/17f69a78385l0i1z1czzifpit6ox3p.png,"Item for online play. Lures in invaders. This allows your world to be invaded without any Furled Finger cooperators present, and it also shortens the interval between windows of opportunity for invasion. Additionally, enables the arrival of a second invader. (When two invaders are present, you will be limited to one cooperator.)",Reusable,Lures in invanders.,
17f697244e5l0i1z1detjfd6slms6p,Bloody Finger,https://eldenring.fanapis.com/images/items/17f697244e5l0i1z1detjfd6slms6p.png,"Item for online play. Attempts an invasion of another player's world. If successful, your objective will be to defeat the Host of Fingers of the world to which you were summoned. The nail of this finger is shot through with streaks of fresh, glistening blood. The finger's sickly pale skin feels nothing now, but the nail still aches with sweetest pain.",Reusable,Attempts invasion of other player's world.,
