id,name,image,region,description,Liurnia of the Lakes
17f69c5a795l0i2m72bjeqbh713r3o,Bridge Of Sacrifice,https://eldenring.fanapis.com/images/locations/17f69c5a795l0i2m72bjeqbh713r3o.png,Limgrave,"A busy bridge swarming with iron-clad foes. Be prepared to engage in an array of melee, ranged and artillery attacks or attempt to push past them",
17f69869a3bl0i2m72p0sbjub568ch,Church Of Elleh,https://eldenring.fanapis.com/images/locations/17f69869a3bl0i2m72p0sbjub568ch.png,Limgrave,"Church of Elleh is a ruined building that hides a Site of Grace. The rooftop has caved in and offers no protection from the elements, and weeds are overtaking the walls, but this doesn't stop merchants from seeking what little shelter is on offer",
17f69886115l0i2m7307w4njyfhwt5,Deathtouched Catacombs,https://eldenring.fanapis.com/images/locations/17f69886115l0i2m7307w4njyfhwt5.png,Limgrave,"Catacombs filled with the stench of death, Skeletons dwell in the shadows",
17f697ae5eel0i2m74j1houvhsid9m,Church Of Dragon Communion,https://eldenring.fanapis.com/images/locations/17f697ae5eel0i2m74j1houvhsid9m.png,Limgrave,The dilapidated remains of the Church of Dragon Communion showcase the ruin that came to the land. But could a flame still linger at its altar??,
17f697edfb9l0i2m79bx2q2xwbbjtl,Coastal Cave,https://eldenring.fanapis.com/images/locations/17f697edfb9l0i2m79bx2q2xwbbjtl.png,Limgrave,"Coastal Cave is a dark opening on the side of a cliff. Its mossy depths are overrun by hostile humanoid creatures, but those who brave it may find passage to new lands",
17f6986ad2el0i2m7q7y6gl2myxkh8,Dragon-burnt Ruins,https://eldenring.fanapis.com/images/locations/17f6986ad2el0i2m7q7y6gl2myxkh8.png,Limgrave,"Dragon-Burnt Ruins are what remains of the housing area among Agheel Lake, long lost to the deadly attacks of the fierce Agheel Dragon ",
17f69d3927cl0i2m7rak61iym4ek,Forlorn Hound Evergaol,https://eldenring.fanapis.com/images/locations/17f69d3927cl0i2m7rak61iym4ek.png,Limgrave,"The southern Evergaol of Limgrave, before the entrance to Weeping Peninsula",
17f699ae4a0l0i2m7xeop7sxh8y65e,Fringefolk Hero's Grave,https://eldenring.fanapis.com/images/locations/17f699ae4a0l0i2m7xeop7sxh8y65e.png,Limgrave,Fingefolk Hero's Grave is a dark and secluded location within the Cave of Knowledge. The confused and aimless dwell within,
17f6981bb8al0i2m7z49o4mk7lid3,Fort Haight,https://eldenring.fanapis.com/images/locations/17f6981bb8al0i2m7z49o4mk7lid3.png,Limgrave,"The overrun fort of Kenneth Haith, the alleged next ruler of Limgrave",
17f699007d5l0i2m80jyrpycbrgzml,Divine Tower Of Limgrave,https://eldenring.fanapis.com/images/locations/17f699007d5l0i2m80jyrpycbrgzml.png,Limgrave,Closed with a giant set of doors. It looks like you need some pieces to interact with the tower.  ,
