id,name,image,quote,location,role
17f69a221c9l0i2ojlqe4t4u5lk6pc,Merchant Kalé,https://eldenring.fanapis.com/images/npcs/17f69a221c9l0i2ojlqe4t4u5lk6pc.png,,"Limgrave, Church of Elleh", General Goods Shop
17f69ddf39dl0i2ojm1riku8s6qxfs,Sorceress Sellen,https://eldenring.fanapis.com/images/npcs/17f69ddf39dl0i2ojm1riku8s6qxfs.png,,"Limgrave, Waypoint Ruins",Sorceries Shop
17f69f1be7cl0i2ojly1jcpn4j09p3,Smithing Master Hewg,https://eldenring.fanapis.com/images/npcs/17f69f1be7cl0i2ojly1jcpn4j09p3.png,"I'm a prisoner, and these are my chains. I'm trapped by the Hold, undying, smithing for you fools. That's all there is to it.",Roundtable Hold,Blacksmith
17f69af3e48l0i2ojme5z01n0gziz,Roderika,https://eldenring.fanapis.com/images/npcs/17f69af3e48l0i2ojme5z01n0gziz.png,"Everyone who came with me. They crossed the sea for me. They fought, for me. Heh... Only to have their arms taken. Their legs taken. Even their heads...taken. Taken and stuck to the spider. ","Stormhill Shack, Roundtable Hold",Spirit-Tuner
17f69b266a8l0i2okbqoh1wxlp59l,Thops,https://eldenring.fanapis.com/images/npcs/17f69b266a8l0i2okbqoh1wxlp59l.png,"For a small donation, I'd be happy to share my knowledge.",Church of Irith in Liurnia of the Lakes,Sorcery Student
17f698fa9a6l0i2oki2yjnuz5pqjrh,Enia,https://eldenring.fanapis.com/images/npcs/17f698fa9a6l0i2oki2yjnuz5pqjrh.png,"The Fingers guide us all. And you Tarnished, you are here to take, are you not?",Roundtable Hold,Finger Reader
17f69b2abd8l0i2oki2301lpwzqbe8,"Miriel, Pastor Of Vows",https://eldenring.fanapis.com/images/npcs/17f69b2abd8l0i2oki2301lpwzqbe8.png,"I Welcome you, to the Church of Vows. I am Miriel, steward of this sacred chamber. My apologies, for the unseemly state of affairs. Do you know the origin of this place?",Church of Vows,Steward of the Church of Vows
17f69f7be15l0i2oki48thaky6x3tg,War Counselor Iji,https://eldenring.fanapis.com/images/npcs/17f69f7be15l0i2oki48thaky6x3tg.png,"Well, look at you. We don't receive many visitors","Kingsrealm Ruins, Western Liurnia of the Lakes",Blacksmith & Quest NPC
17f69b259e2l0i2ol1q157ho9f89ia,Sorcerer Rogier,https://eldenring.fanapis.com/images/npcs/17f69b259e2l0i2ol1q157ho9f89ia.png,"The pleasure's mine. Rogier's the name. A sorcerer, as you might have guessed.",Stormveil Castle,Merchant
17f69cd42f7l0i2ol82u1cg8l2ia3d,"Gurranq, Beast Clergyman",https://eldenring.fanapis.com/images/npcs/17f69cd42f7l0i2ol82u1cg8l2ia3d.png,I feel it's stench on you... death. Feed it to me.,"Bestial Sanctum, Caelid",Special Trader
17f69de1218l0i2olc1m799deyzbgj,Boc The Seamster,https://eldenring.fanapis.com/images/npcs/17f69de1218l0i2olc1m799deyzbgj.png,"Hm? Oh, yes I remember. Some clod turned me into a tree.",Limgrave,Garments Adjuster
17f69ddef68l0i2olcp6li59r4nce2,Brother Corhyn,https://eldenring.fanapis.com/images/npcs/17f69ddef68l0i2olcp6li59r4nce2.png,"I teach incantations, the strength granted us by the Two Fingers, and explore the secrets of the Golden Order. So that one day, if a Tarnished of the Roundtable Hold should become Elden Lord, I might counsel them, ensuring order regains its proper form, righting rule over men.",Roundtable Hold,Holy Practitioner
17f699a4f38l0i2olkl6gze7y5zrp8,"D, Hunter Of The Dead",https://eldenring.fanapis.com/images/npcs/17f699a4f38l0i2olkl6gze7y5zrp8.png,Insert NPC quote here.,Roundtable Hold,Undead Hunter
17f69768ff6l0i2olppqo9yb2ltjcb,Knight Bernahl,https://eldenring.fanapis.com/images/npcs/17f69768ff6l0i2olppqo9yb2ltjcb.png,"Let me ask you something Are you here in the Lands Between to take up the fight? Does your faith in the guidance of grace hold firm, despite the collapse of the Golden Order?","Warmaster's Shack, Volcano Manor",Ash of War Merchant
17f69b2925el0i2olviqhconjh7a7i,"Pidia, Carian Servant",https://eldenring.fanapis.com/images/npcs/17f69b2925el0i2olviqhconjh7a7i.png,"But please, can you offer poor ill-starred Pidia...",Caria Manor,Merchant
17f69c203c0l0i2oly55scrrz3xpp,Imprisoned Merchant,https://eldenring.fanapis.com/images/npcs/17f69c203c0l0i2oly55scrrz3xpp.png,,Mohgwyn Dynasty Mausoleum, General Goods Shop
17f699a9d79l0i2olzmep3owqdj2z6,Melina,https://eldenring.fanapis.com/images/npcs/17f699a9d79l0i2olzmep3owqdj2z6.png,"Have you heard of the finger maidens? They serve the Two Fingers, offering guidance, and aid, to the Tarnished. But you, I am afraid, are maidenless. I can play the role of maiden.",The beginning of the Tarnished's journey.,Maiden
