,id,name,type,damage_type,attack,raw,affinity,total_slots,base_durability,max_durability,elements,element_damage,element_hidden
0,1,Buster Sword 1,great-sword,sever,384,80,0,0,200.0,250.0,None,0,No
1,2,Buster Sword 2,great-sword,sever,432,90,0,0,200.0,250.0,None,0,No
2,3,Buster Sword 3,great-sword,sever,480,100,0,0,200.0,250.0,None,0,No
3,4,Buster Blade 1,great-sword,sever,576,120,0,0,250.0,300.0,None,0,No
4,5,Buster Blade 2,great-sword,sever,624,130,0,0,250.0,300.0,None,0,No
5,6,Buster Blade 3,great-sword,sever,672,140,0,1,300.0,350.0,poison,240,Yes
6,7,Chrome Razor 1,great-sword,sever,720,150,0,1,300.0,350.0,poison,330,Yes
7,8,Chrome Razor 2,great-sword,sever,864,180,0,2,350.0,400.0,poison,420,Yes
8,9,Nergal Judicator,great-sword,sever,912,190,0,1,400.0,400.0,dragon,120,No
9,10,Purgation's Atrocity,great-sword,sever,1008,210,0,1,400.0,400.0,dragon,150,No
10,11,Thunder Blade 1,great-sword,sever,528,110,0,0,250.0,300.0,thunder,120,No
11,12,Thunder Blade 2,great-sword,sever,624,130,0,0,250.0,300.0,thunder,150,No
12,13,Lightning Punisher 1,great-sword,sever,672,140,0,1,300.0,350.0,thunder,180,No
13,14,Lightning Punisher 2,great-sword,sever,816,170,0,1,300.0,350.0,thunder,210,No
14,15,Lightning Punisher 3,great-sword,sever,912,190,0,1,350.0,400.0,thunder,240,No
15,16,Freeze Blade 1,great-sword,sever,576,120,0,0,250.0,300.0,ice,240,No
16,17,Freeze Blade 2,great-sword,sever,624,130,0,1,300.0,350.0,ice,270,No
17,18,Frost Blaze 1,great-sword,sever,720,150,0,1,300.0,350.0,ice,330,No
18,19,Frost Blaze 2,great-sword,sever,768,160,0,1,350.0,400.0,ice,390,No
19,20,Jagras Blade 1,great-sword,sever,528,110,0,0,200.0,250.0,None,0,No
20,21,Jagras Blade 2,great-sword,sever,576,120,0,0,250.0,300.0,None,0,No
21,22,Jagras Blade 3,great-sword,sever,672,140,0,0,250.0,300.0,None,0,No
22,23,Jagras Hacker 1,great-sword,sever,816,170,0,2,300.0,350.0,water,210,Yes
23,24,Jagras Hacker 2,great-sword,sever,864,180,0,2,300.0,350.0,water,240,Yes
24,25,Jagras Hacker 3,great-sword,sever,912,190,0,2,350.0,400.0,water,300,Yes
25,26,Girros Blade 1,great-sword,sever,528,110,15,0,250.0,300.0,paralysis,210,No
26,27,Girros Blade 2,great-sword,sever,624,130,15,0,250.0,300.0,paralysis,240,No
27,28,Malady's Kiss 1,great-sword,sever,672,140,20,0,300.0,350.0,paralysis,270,No
28,29,Malady's Kiss 2,great-sword,sever,720,150,20,0,300.0,350.0,paralysis,360,No
29,30,Malady's Kiss 3,great-sword,sever,768,160,20,0,350.0,400.0,paralysis,450,No
30,31,Lava Blaze 1,great-sword,sever,768,160,0,2,300.0,350.0,fire,270,No
31,32,Lava Blaze 2,great-sword,sever,864,180,0,2,350.0,400.0,fire,330,No
32,33,Blooming Blade 1,great-sword,sever,528,110,0,0,200.0,250.0,poison,240,No
33,34,Blooming Blade 2,great-sword,sever,576,120,0,0,250.0,300.0,poison,300,No
34,35,Blooming Blade 3,great-sword,sever,624,130,0,0,250.0,300.0,poison,360,No
35,36,Datura Blaze 1,great-sword,sever,720,150,0,2,300.0,350.0,poison,420,No
36,37,Datura Blaze 2,great-sword,sever,768,160,0,2,300.0,350.0,poison,480,No
37,38,Datura Blaze 3,great-sword,sever,816,170,0,2,350.0,400.0,poison,540,No
