,id,level_durability,red,orange,yellow,green,blue,white,purple
0,1,base,100,50,50,0,0,0,0
0,1,sharpness +1,100,50,60,0,0,0,0
0,1,sharpness +2,100,50,70,0,0,0,0
0,1,sharpness +3,100,50,80,0,0,0,0
0,1,sharpness +4,100,50,80,10,0,0,0
0,1,sharpness +5,100,50,80,20,0,0,0
1,2,base,70,70,30,30,0,0,0
1,2,sharpness +1,70,70,30,40,0,0,0
1,2,sharpness +2,70,70,30,50,0,0,0
1,2,sharpness +3,70,70,30,60,0,0,0
1,2,sharpness +4,70,70,30,70,0,0,0
1,2,sharpness +5,70,70,30,80,0,0,0
2,3,base,60,70,30,40,0,0,0
2,3,sharpness +1,60,70,30,50,0,0,0
2,3,sharpness +2,60,70,30,60,0,0,0
2,3,sharpness +3,60,70,30,70,0,0,0
2,3,sharpness +4,60,70,30,80,0,0,0
2,3,sharpness +5,60,70,30,90,0,0,0
3,4,base,70,50,80,50,0,0,0
3,4,sharpness +1,70,50,80,60,0,0,0
3,4,sharpness +2,70,50,80,70,0,0,0
3,4,sharpness +3,70,50,80,80,0,0,0
3,4,sharpness +4,70,50,80,90,0,0,0
3,4,sharpness +5,70,50,80,100,0,0,0
4,5,base,60,50,80,60,0,0,0
4,5,sharpness +1,60,50,80,70,0,0,0
4,5,sharpness +2,60,50,80,80,0,0,0
4,5,sharpness +3,60,50,80,90,0,0,0
4,5,sharpness +4,60,50,80,100,0,0,0
4,5,sharpness +5,60,50,80,110,0,0,0
5,6,base,100,50,50,80,20,0,0
5,6,sharpness +1,100,50,50,80,30,0,0
5,6,sharpness +2,100,50,50,80,40,0,0
5,6,sharpness +3,100,50,50,80,50,0,0
5,6,sharpness +4,100,50,50,80,60,0,0
5,6,sharpness +5,100,50,50,80,70,0,0
6,7,base,90,50,50,80,30,0,0
6,7,sharpness +1,90,50,50,80,40,0,0
6,7,sharpness +2,90,50,50,80,50,0,0
6,7,sharpness +3,90,50,50,80,60,0,0
6,7,sharpness +4,90,50,50,80,70,0,0
6,7,sharpness +5,90,50,50,80,80,0,0
